Site,Description,Category,Address,Fees,Open Hour,Close Hour,Closed,Recommend Length of Visit (hrs),Scale
The Getty Center,"Spectacular museum boasts a most impressive collection by such luminaries as Van Gogh, Monet and Cezanne, along with the architectural triumph of its six buildings and gardens.",Culture and Landmarks,"1200 Getty Center Drive, Los Angeles, CA 90049",15,10,17.5,Mon,3,8
Santa Monica Pier,"Santa Monica Bay consists of 50 miles of scenic coastline with 22 separate public beaches, providing recreational opportunities to visitors year round.",Outdoor and Adventure,"200 Santa Monica Pier, Santa Monica, CA 90401",0,8,20,None,2.5,8
Will Rogers State Historic Park,"State historic park in the Santa Monica mountains includes hiking and equestrian trails, picnic grounds, guided tours of the Will Rogers historic ranch house and weekend polo matches.",Outdoor and Adventure,"1501 Will Rogers State Park Road, Los Angeles, CA 90272",6,8,16.5,None,4.5,8
Magic and Wine Tasting with David Minkin,Dinner Entertainment,Event and Amusement,"1737 Vine Street, Los Angeles, CA 90028",85,18,20.5,"Mon,Tue,Wed,Thu,Fri,Sun",2.5,7
Universal Studios Hollywood,Theme Park,Event and Amusement,"100 Universal City Plaza, Universal City, CA 91608",85,8,20,None,10,7
Runyon Canyon Park,"Located off Mulholland Drive in the Hollywood Hills, this park is especially loved by dog-lovers since they can hike with their dogs without a leash.",Outdoor and Adventure,"2000 North Fuller Avenue, Los Angeles, CA 90046",0,7,16,None,2.5,7
Topanga State Park,"This beautiful state park spans 9,000 acres of varied terrain.",Outdoor and Adventure,"20829 Entrada Road, Los Angeles, CA 90290",0,7,16,None,4.5,7
Los Angeles Urban Adventures,"Our Los Angeles Urban Adventures team team will show you local hotspots hidden from mass tourism. Whether it?s tasting favorite food and drink, ogling awesome architecture, or soaking up the local ambiance, we?ll ensure your Los Angeles experience is fun, fantastic and totally off the beaten path! ",Outdoor and Adventure,"El Cerrito Pl, Los Angeles, CA 90028",70,9.5,15,None,3.5,7
Pacific Blue Air,Pacific Blue Air is a Light Sport Aircraft training facility based in the scenic city of Los Angeles.  We offer introductory flight lessons as well as intermediate and advanced flight training in our state-of-the art Revo Evolution aircraft.   ,Outdoor and Adventure,"12101 Crenshaw Blvd, Los Angeles, CA 90250",290,6,21.5,Mon,1.5,7
Griffith Observatory and Park,"A public observatory owned and operated by the City of Los Angeles for the benefit of all. Located in on Mount Hollywood in Griffith Park, the Observatory offers a planetarium, exhibits, public telescopes, cafe, bookstore, and the best views of the Los Angeles basin. Admission and parking are free, and visitors may drive directly to the Observatory and park in its lots and roads.",Culture and Landmarks,"2800 E. Observatory Road, Los Angeles, CA 90027",0,12,22,Mon,3.5,8
Los Angeles County Museum of Art,"Since its inception in 1965, LACMA has been devoted to collecting works of art that span both history and geography?and represents Los Angeles? uniquely diverse population.",Culture and Landmarks,"5905 Wilshire Blvd, Los Angeles, CA 90036",15,11,17,Wed,2.5,6
Staples Center,Arenas,Culture and Landmarks,"1111 S Figueroa Street, Los Angeles, CA 90015",120,18,23,None,3.5,6
Venice Canals Walkway,Scenic/ Historic Walking Areas,Outdoor and Adventure,"Carroll Ct & Eastern Canal Ct, Venice, CA 90293",0,7,19,None,2.5,6
Bike Tours Hollywood,"Fun Sightseeing Tours of Hollywood, Beverly Hills, and to the Beach. Starting from the Walk of Fame, you will have an amazing start to a great tour of Los Angeles. While biking and walking, you will see great views of the famous Hollywood Sign, Movie Locations, Studios, Celebrity Homes and more! Fully narrated, safely through beautiful neighborhoods, Sunset Strip, and even Rodeo Drive. See the Best locations in LA, on a bike.",Outdoor and Adventure,"6672 Hollywood Blvd, Los Angeles, CA 90028",60,11,15,None,2.5,6
Walt Disney Concert Hall,"Home of the Los Angeles Philharmonic, this concert hall is designed to be one of the most acoustically sophisticated in the world.",Culture and Landmarks,"135 N. Grand Avenue, Los Angeles, CA 90012",0,9,17,None,1,5
Hollywood Sign,"Perched atop Mount Lee, this global symbol of Hollywood glamour measures 450 feet in length with mammoth white letters, each standing 45 feet high, spelling out the name of the city.",Culture and Landmarks,"3204 Canyon Lake Drive, Los Angeles, CA 90068",0,8,17,None,1.5,5
Nethercutt Museum,"The Grand Salon showcases cars of the 1910s to 1930s. There are also collections of furniture, dolls, timepieces and one of the world's finest collections of mechanical musical instruments.",Culture and Landmarks,"15151 Bledsoe Street, Sylmar, Los Angeles, CA 91342",0,9,16.5,"Mon,Sun",2.5,5
Hollywood Walk of Fame,"A tribute to over 2000 artists who have made significant contributions to  film, radio, television,  theatre and the recording industries.",Culture and Landmarks,"Hollywood Blvd at Vine Street, Los Angeles, CA 90028",0,8,17,None,1,4
Warner Brothers Studios,"One of Hollywood's most famous movie studios, Warner Bros. was founded by four brothers in 1928.",Event and Amusement,"4000 Warner Blvd, Burbank, CA 91522",54,8.25,16,Sun,3.5,8
Autry National Center,"The Autry National Center is a museum dedicated to exploring and sharing the stories, experiences, and perceptions of the diverse peoples of the American West, connecting the past to the present to inspire our shared future.",Culture and Landmarks,"4700 Western Heritage Way, Los Angeles, CA 90027",10,10,16,Mon,2,8
Olvera Street,"The oldest street in Los Angeles is fun to visit, especially during special events like the ""Blessing of the Animals"" or ""Dia De Los Muertos"" (Day of the Dead.)",Culture and Landmarks,"125 Paseo de la Plaza, Los Angeles, CA 90012",0,10,20,None,2,6
The Original Farmers Market,"The Farmers Market area is really two things: the original Farmers Market, an outdoor eating and shopping area begun by farmers during the depression and The Grove which is an open air mall.",Culture and Landmarks,"6333 W 3rd St at Fairfax Ave, Los Angeles, CA",0,10,19,None,2,5
Petersen Automotive Museum,The Petersen Automotive Museum is dedicated to the exploration and presentation of the automobile and its impact on American life and culture using Los Angeles as the prime example.,Culture and Landmarks,"6060 Wilshire Blvd, Los Angeles, CA 90036",15,10,18,Mon,2.5,6
Mulholland Drive,This drive along the top of Hollywood Hills offers great views of Los Angeles.,Culture and Landmarks,"Mulholland Drive, Beverly Hills, CA",0,0,24,None,2,5
TCL Chinese Theatres,"Walk in the steps of the Tinseltown's stars: visit the theater's famous forecourt and gaze down at the stars' footprints, handprints and autographs immortalized in cement",Culture and Landmarks,"6925 Hollywood Blvd, Hollywood, Los Angeles, CA 90028",13,10.5,18,None,1,6
Dolby Theatre,"Home of the Academy Awards, Kodak Theater offers a 30-minute guided tour that includes a visit to the theater, VIP room and Oscar history.",Culture and Landmarks,"6801 Hollywood Blvd, Los Angeles, CA 90028",17,10.5,16,None,1,5
Rodeo Drive,Probably the most famous star-studded shopping street in the world.,Culture and Landmarks,"Santa Monica Blvd at Wilshire Blvd, Beverly Hills, CA 90210",25,10,18,None,1.5,6
